beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.94352177,1.6689582,0.36081329,0.033265916,0.021502139,0.076201569,0.011966236,0.72634094,2.4248543
0.93611217,1.8423645,0.47612558,0.032823146,0.025448597,0.083553811,0.011409626,0.7111005,2.6427373
0.92676477,2.1202479,0.46869639,0.042049724,0.020983756,0.066985847,0.011735527,0.73161996,2.5885503
0.90041928,1.5218137,0.55812535,0.043338369,0.010775462,0.07326219,0.020006197,0.87177941,2.6099934
0.96357934,2.0761527,0.45209932,0.034301886,0.029245832,0.078251336,0.010318928,0.88239221,2.6796613
0.89426442,1.2428832,0.44023085,0.036545547,0.010771241,0.064222894,0.038011986,0.45244052,2.3965876
0.86104852,1.3920312,0.42780485,0.032107621,0.016028726,0.051870411,0.029803369,0.53833128,2.32663
0.92508333,2.1625449,0.53190932,0.047606903,0.032939265,0.079293521,0.011934937,0.62622661,2.6856881
0.94847746,1.8256144,0.53613883,0.03425423,0.052329161,0.084089124,0.011731528,0.70988514,2.7845341
0.93537795,1.8011926,0.42457541,0.038483445,0.011843765,0.092269575,0.010770079,1.075117,2.5111909
1.0079735,1.7441208,0.46808717,0.04914489,0.034213662,0.097325993,0.010385673,0.83239006,2.7135208
0.85918814,1.9166348,0.54311242,0.043306029,0.014551668,0.069442626,0.039321969,0.46419312,2.530306
0.97414022,1.5229453,0.40838248,0.031369152,0.027897827,0.080293316,0.010284922,0.82282105,2.5828969
0.89690166,1.1904866,0.49591638,0.027722624,0.027751898,0.085552696,0.019714687,0.51366311,2.5322694
0.93896505,1.4878631,0.48316452,0.032197903,0.019272235,0.090624866,0.010340093,0.72473045,2.6277911
0.90305284,1.2968065,0.45789324,0.04299506,0.01719795,0.052845861,0.010235807,0.6847377,2.4242435
0.95220025,2.1094369,0.4669605,0.031870503,0.011838177,0.064213531,0.010187659,0.58454582,2.6982756
0.96252761,1.7544952,0.49213798,0.043257232,0.029284723,0.092620602,0.011160708,0.60674788,2.6768898
0.91139719,1.5690667,0.42874396,0.032241897,0.012398584,0.065432088,0.021392674,0.58956396,2.4672046
0.94047714,1.5692034,0.42338732,0.035806272,0.013490083,0.073730965,0.016055753,0.59729675,2.5128818
0.93840232,1.7557729,0.48901894,0.034152604,0.016485823,0.05840924,0.011175223,0.62566279,2.6573
0.91979447,1.8070026,0.47304105,0.033806936,0.019308196,0.084368575,0.010340811,0.74721614,2.5868523
0.93079932,1.8060785,0.47797808,0.03825218,0.016097677,0.048556379,0.010495207,0.60420505,2.6017093
0.94206483,2.0308889,0.4525986,0.03475193,0.010793084,0.034372181,0.01179307,0.52128825,2.6206294
0.96852102,1.7273544,0.46540357,0.048122979,0.047047884,0.098768748,0.010932515,0.69422018,2.6158696
0.91776685,1.6193016,0.45649127,0.030783045,0.013646948,0.091034397,0.022985487,0.67179765,2.5455629
0.96632969,1.5259401,0.43538051,0.035413621,0.027468365,0.070679768,0.015701156,0.61179475,2.5957781
0.93341148,1.422015,0.45085386,0.041062088,0.021448542,0.088716995,0.017944569,0.58192408,2.507271
0.97422396,1.5145704,0.39066123,0.02689395,0.034560155,0.071797629,0.013986173,0.64570563,2.5688497
0.91299352,1.7117732,0.46347516,0.026264287,0.014780903,0.083814668,0.014782047,0.72614708,2.5787719
0.93091172,1.1068348,0.44740316,0.028668182,0.015297641,0.0468463,0.016221923,0.67215146,2.5216551
1.0243821,1.7296725,0.40733239,0.028715913,0.023592496,0.095805551,0.010531169,0.68669643,2.7327521
0.95274404,1.6790999,0.41532024,0.031625207,0.024903271,0.088306233,0.011057027,0.67921478,2.5559182
0.92870021,1.7544271,0.57026003,0.02515768,0.02912187,0.083888822,0.022958838,0.72735384,2.8477306
